Vin X,Vin Y,CLK X,CLK Y,REF X,REF Y,OUTN X,OUTN Y
0,0.8,0,7.754460063582596e-10,0,0.8,0,0.4820775134381893
9.986379444176981e-15,0.8000000000392165,9.986379444176981e-15,1.869948334991366e-05,9.986379444176981e-15,0.8,9.986379444176981e-15,0.4820783798619181
1.799535003823371e-14,0.8000000000706676,1.799535003823371e-14,3.367388146279781e-05,1.799535003823371e-14,0.8,1.799535003823371e-14,0.4820790736117983
3.401329122634717e-14,0.80000000013357,3.401329122634717e-14,6.356977813875554e-05,3.401329122634717e-14,0.8,3.401329122634717e-14,0.4820804584143754
6.604917360257409e-14,0.8000000002593746,6.604917360257409e-14,0.0001231083538319662,6.604917360257409e-14,0.8,6.604917360257409e-14,0.4820832150813713
1.301209383550279e-13,0.8000000005109837,1.301209383550279e-13,0.0002411469399396266,1.301209383550279e-13,0.8,1.301209383550279e-13,0.4820886753288303
2.582644678599356e-13,0.8000000010142022,2.582644678599356e-13,0.000473110273334165,2.582644678599356e-13,0.8,2.582644678599356e-13,0.4820993855023891
5.145515268697509e-13,0.8000000020206391,5.145515268697509e-13,0.0009211019217460743,5.145515268697509e-13,0.8,5.145515268697509e-13,0.4821199908765149
1.027125644889382e-12,0.800000004033513,1.027125644889382e-12,0.00175774884438879,1.027125644889382e-12,0.8,1.027125644889382e-12,0.4821581632920612
1.782878102175323e-12,0.800000007001346,1.782878102175323e-12,0.00286698391083676,1.782878102175323e-12,0.8,1.782878102175323e-12,0.4822080410443948
2.51015055924409e-12,0.8000000098573382,2.51015055924409e-12,0.003832400050487956,2.51015055924409e-12,0.8,2.51015055924409e-12,0.4822506496608917
3.151937168058337e-12,0.8000000123776283,3.151937168058337e-12,0.004601936369190814,3.151937168058337e-12,0.8,3.151937168058337e-12,0.4822839401524993
3.506700658101916e-12,0.8000000137707813,3.506700658101916e-12,0.004965016842389735,3.506700658101916e-12,0.8,3.506700658101916e-12,0.4822992702040751
3.931067669324609e-12,0.8000000154372666,3.931067669324609e-12,0.005304648904297654,3.931067669324609e-12,0.8,3.931067669324609e-12,0.4823130726720617
4.350460747223516e-12,0.8000000170842194,4.350460747223516e-12,0.005520219158802039,4.350460747223516e-12,0.8,4.350460747223516e-12,0.4823210256348565
4.843340927177105e-12,0.8000000190197554,4.843340927177105e-12,0.005610435233870754,4.843340927177105e-12,0.8,4.843340927177105e-12,0.4823227197268285
5.534191162713063e-12,0.8000000217327179,5.534191162713063e-12,0.005440640471808358,5.534191162713063e-12,0.8,5.534191162713063e-12,0.482311360990729
6.479216316636591e-12,0.8000000254438229,6.479216316636591e-12,0.00467571780728777,6.479216316636591e-12,0.8,6.479216316636591e-12,0.4822715474004856
7.385261622504566e-12,0.8000000290018544,7.385261622504566e-12,0.003358792162994642,7.385261622504566e-12,0.8,7.385261622504566e-12,0.4822072783020609
7.98543070220866e-12,0.8000000313587129,7.98543070220866e-12,0.002120981484938391,7.98543070220866e-12,0.8,7.98543070220866e-12,0.4821485461379664
8.55587237465969e-12,0.800000033598832,8.55587237465969e-12,0.0006538196507044795,8.55587237465969e-12,0.8,8.55587237465969e-12,0.4820800659633742
9.260432109096241e-12,0.8000000363656316,9.260432109096241e-12,-0.001548314966725048,9.260432109096241e-12,0.8,9.260432109096241e-12,0.4819788512620328
9.676181551219736e-12,0.8000000379982758,9.676181551219736e-12,-0.003000704794420566,9.676181551219736e-12,0.8,9.676181551219736e-12,0.4819128985765296
1e-11,0.8000000392699078,1e-11,-0.004196173285849073,1e-11,0.8,1e-11,0.481859040605318
1.006094184131858e-11,0.8000000395092258,1.006094184131858e-11,-0.004525910855926251,1.006094184131858e-11,0.8,1.006094184131858e-11,0.481844133624214
1.01295779564987e-11,0.8000000397787592,1.01295779564987e-11,-0.004895562800072671,1.01295779564987e-11,0.8,1.01295779564987e-11,0.4818274461367489
1.021160074740368e-11,0.800000040100862,1.021160074740368e-11,-0.005334050509032547,1.021160074740368e-11,0.8,1.021160074740368e-11,0.4818076917726138
1.037564632921364e-11,0.8000000407450675,1.037564632921364e-11,-0.006199645307675075,1.037564632921364e-11,0.8,1.037564632921364e-11,0.4817688347155891
1.070373749283357e-11,0.8000000420334784,1.070373749283357e-11,-0.007886707024941238,1.070373749283357e-11,0.8,1.070373749283357e-11,0.4816936492296044
1.135991982007343e-11,0.8000000446103003,1.135991982007343e-11,-0.01110122807559783,1.135991982007343e-11,0.8,1.135991982007343e-11,0.4815524786025941
1.211074821314995e-11,0.8000000475587963,1.211074821314995e-11,-0.01455548012964814,1.211074821314995e-11,0.8,1.211074821314995e-11,0.4814040197901208
1.287346983546935e-11,0.800000050553997,1.287346983546935e-11,-0.01786815666036948,1.287346983546935e-11,0.8,1.287346983546935e-11,0.4812649850472991
1.366639581526195e-11,0.8000000536678099,1.366639581526195e-11,-0.02116037993511235,1.366639581526195e-11,0.8,1.366639581526195e-11,0.4811301095527204
1.447744698445093e-11,0.8000000568528002,1.447744698445093e-11,-0.02443350563342852,1.447744698445093e-11,0.8,1.447744698445093e-11,0.4809991570589994
1.530211891229021e-11,0.800000060091279,1.530211891229021e-11,-0.02772732327991923,1.530211891229021e-11,0.8,1.530211891229021e-11,0.4808702529232983
1.617826167045113e-11,0.8000000635318834,1.617826167045113e-11,-0.03123016089255725,1.617826167045113e-11,0.8,1.617826167045113e-11,0.4807360381946524
1.727530691892888e-11,0.8000000678399696,1.727530691892888e-11,-0.0355874974397335,1.727530691892888e-11,0.8,1.727530691892888e-11,0.4805733252220321
1.811309154037989e-11,0.8000000711299418,1.811309154037989e-11,-0.03879125477680118,1.811309154037989e-11,0.8,1.811309154037989e-11,0.4804574812759347
1.89771848529492e-11,0.8000000745232279,1.89771848529492e-11,-0.04183885517822004,1.89771848529492e-11,0.8,1.89771848529492e-11,0.4803517871845644
1.977852284670226e-11,0.8000000776700744,1.977852284670226e-11,-0.04430534361060398,1.977852284670226e-11,0.8,1.977852284670226e-11,0.4802715643182205
2.055734146307167e-11,0.8000000807284876,2.055734146307167e-11,-0.04626870157553597,2.055734146307167e-11,0.8,2.055734146307167e-11,0.4802141246467651
2.138197506954855e-11,0.8000000839668158,2.138197506954855e-11,-0.04779337688162502,2.138197506954855e-11,0.8,2.138197506954855e-11,0.4801787535280494
2.228490810352291e-11,0.800000087512625,2.228490810352291e-11,-0.04872804107188519,2.228490810352291e-11,0.8,2.228490810352291e-11,0.4801729590098794
2.329028105938789e-11,0.8000000914607147,2.329028105938789e-11,-0.04878301279830675,2.329028105938789e-11,0.8,2.329028105938789e-11,0.4802097434403516
2.439781557984303e-11,0.8000000958099918,2.439781557984303e-11,-0.04754807384214703,2.439781557984303e-11,0.8,2.439781557984303e-11,0.4803059745740474
2.556768379866498e-11,0.8000001004040527,2.556768379866498e-11,-0.04464937725568743,2.556768379866498e-11,0.8,2.556768379866498e-11,0.4804750445763861
2.671708401981492e-11,0.8000001049177358,2.671708401981492e-11,-0.04004981343046016,2.671708401981492e-11,0.8,2.671708401981492e-11,0.4807144280676539
2.776992919153273e-11,0.8000001090522482,2.776992919153273e-11,-0.03413384370428368,2.776992919153273e-11,0.8,2.776992919153273e-11,0.4810046963344455
2.87137117726906e-11,0.8000001127584727,2.87137117726906e-11,-0.02728320898191165,2.87137117726906e-11,0.8,2.87137117726906e-11,0.4813296288321373
2.959766276745959e-11,0.8000001162297392,2.959766276745959e-11,-0.01942525410772236,2.959766276745959e-11,0.8,2.959766276745959e-11,0.4816947049706603
3.052224353878233e-11,0.8000001198605584,3.052224353878233e-11,-0.009667880192221914,3.052224353878233e-11,0.8,3.052224353878233e-11,0.4821420254981104
3.179335624869966e-11,0.8000001248522048,3.179335624869966e-11,0.006188527589018245,3.179335624869966e-11,0.8,3.179335624869966e-11,0.4828625878759169
3.296265769624845e-11,0.8000001294440393,3.296265769624845e-11,0.02306834007851456,3.296265769624845e-11,0.8,3.296265769624845e-11,0.4836285174727502
3.393260439979791e-11,0.8000001332530098,3.393260439979791e-11,0.0385792977069347,3.393260439979791e-11,0.8,3.393260439979791e-11,0.4843365104895283
3.486685513685724e-11,0.8000001369218025,3.486685513685724e-11,0.05466259414829158,3.486685513685724e-11,0.8,3.486685513685724e-11,0.4850791089754805
3.579137755136359e-11,0.8000001405523921,3.579137755136359e-11,0.07155396570605801,3.579137755136359e-11,0.8,3.579137755136359e-11,0.4858731266941801
3.680801986436305e-11,0.8000001445447354,3.680801986436305e-11,0.09110019064732895,3.680801986436305e-11,0.8,3.680801986436305e-11,0.4868175960300408
3.792345915309158e-11,0.8000001489250533,3.792345915309158e-11,0.1135326378675661,3.792345915309158e-11,0.8,3.792345915309158e-11,0.4879492981419201
3.912808642238817e-11,0.8000001536556114,3.912808642238817e-11,0.13868113440652,3.912808642238817e-11,0.8,3.912808642238817e-11,0.4893043587803431
4.040504680827591e-11,0.8000001586702206,4.040504680827591e-11,0.1660788629769792,4.040504680827591e-11,0.8,4.040504680827591e-11,0.4909293517333277
4.172697105996005e-11,0.8000001638614022,4.172697105996005e-11,0.1948596620952674,4.172697105996005e-11,0.8,4.172697105996005e-11,0.4928738696942749
4.307300801942648e-11,0.800000169147274,4.307300801942648e-11,0.2241478781195153,4.307300801942648e-11,0.8,4.307300801942648e-11,0.4951987042555009
4.443453818004748e-11,0.8000001744939872,4.443453818004748e-11,0.2532879499183555,4.443453818004748e-11,0.8,4.443453818004748e-11,0.4979652138345234
4.585853716994353e-11,0.8000001800860145,4.585853716994353e-11,0.28290069919026,4.585853716994353e-11,0.8,4.585853716994353e-11,0.5013259191403929
4.75593043173657e-11,0.8000001867649069,4.75593043173657e-11,0.3168152419332886,4.75593043173657e-11,0.8,4.75593043173657e-11,0.5058902016931821
4.970206608851342e-11,0.8000001951795064,4.970206608851342e-11,0.3572982025024458,4.970206608851342e-11,0.8,4.970206608851342e-11,0.5121606617989015
