/clk X,/clk Logic,/DAC_out0 X,/DAC_out0 Logic,/DAC_out1 X,/DAC_out1 Logic,/DAC_out2 X,/DAC_out2 Logic,/DAC_out3 X,/DAC_out3 Logic,/DAC_out4 X,/DAC_out4 Logic,/eoc X,/eoc Logic,/out0 X,/out0 Logic,/out1 X,/out1 Logic,/out2 X,/out2 Logic,/out3 X,/out3 Logic,/out4 X,/out4 Logic,/SW_inp X,/SW_inp Logic,/SW_ref X,/SW_ref Logic
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.35e-10,1,7.5835e-08,1,7.5835e-08,1,7.5835e-08,1,7.5835e-08,1,7.5835e-08,1,3.75835e-07,1,1e-06,0,3.75835e-07,1,1e-06,0,7.25835e-07,1,3.75835e-07,1,7.5835e-08,1,1.25835e-07,1
2.5835e-08,0,1.25835e-07,0,1.25835e-07,0,1.25835e-07,0,1.25835e-07,0,8.75835e-07,0,4.25835e-07,0,  ,  ,7.25835e-07,0,  ,  ,1e-06,1,1e-06,1,1.00335e-07,0,4.25835e-07,0
5.0335e-08,1,3.25835e-07,1,2.75835e-07,1,2.25835e-07,1,1.75835e-07,1,1e-06,0,7.25835e-07,1,  ,  ,1e-06,0,  ,  ,  ,  ,  ,  ,4.25835e-07,1,4.75835e-07,1
7.5835e-08,0,3.75835e-07,0,4.75835e-07,0,2.75835e-07,0,2.25835e-07,0,  ,  ,7.75835e-07,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,4.50335e-07,0,7.75835e-07,0
1.00335e-07,1,4.25835e-07,1,6.25835e-07,1,4.25835e-07,1,4.25835e-07,1,  ,  ,1e-06,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,7.75835e-07,1,8.25835e-07,1
1.25835e-07,0,4.75835e-07,0,6.75835e-07,0,4.75835e-07,0,4.75835e-07,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8.00335e-07,0,1e-06,1
1.50335e-07,1,6.75835e-07,1,7.75835e-07,1,5.75835e-07,1,5.25835e-07,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1e-06,0,  ,  
1.75835e-07,0,7.25835e-07,0,8.25835e-07,0,6.25835e-07,0,8.25835e-07,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.00335e-07,1,7.75835e-07,1,9.758349999999999e-07,1,7.75835e-07,1,8.75835e-07,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
