/clk X,/clk Logic,/eoc X,/eoc Logic,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/SW_inp X,/SW_inp Y,/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
4.6e-11,1,6.5067e-08,1,5.8582467e-12,0,5.8582467e-12,0,5.8582467e-12,0,5.8582467e-12,0,5.8582467e-12,0,5.8582467e-12,1.839419988685024e-06,5.8582467e-12,0,5.8582467e-12,0.2000165638025833
5.067e-09,0,7.506699999999999e-08,0,6.916569e-12,0,6.916569e-12,0,6.916569e-12,0,6.916569e-12,0,6.916569e-12,0,6.916569e-12,2.124216959085088e-06,6.916569e-12,0,6.916569e-12,0.2000195561381094
1.0046e-08,1,1.35067e-07,1,8.458284499999999e-12,0,8.458284499999999e-12,0,8.458284499999999e-12,0,8.458284499999999e-12,0,8.458284499999999e-12,0,8.458284499999999e-12,2.497449652961473e-06,8.458284499999999e-12,0,8.458284499999999e-12,0.2000239152359694
1.5067e-08,0,1.45067e-07,0,9.999999999999999e-12,0,9.999999999999999e-12,0,9.999999999999999e-12,0,9.999999999999999e-12,0,9.999999999999999e-12,0,9.999999999999999e-12,2.79951000172825e-06,9.999999999999999e-12,0,9.999999999999999e-12,0.200028274333822
2.0046e-08,1,2.05067e-07,1,1.02563921e-11,0,1.02563921e-11,0,1.02563921e-11,0,1.02563921e-11,0,1.02563921e-11,0,1.02563921e-11,2.843432723671813e-06,1.02563921e-11,0,1.02563921e-11,0.2000289992654315
2.5067e-08,0,2.15067e-07,0,1.07691763e-11,0,1.07691763e-11,0,1.07691763e-11,0,1.07691763e-11,0,1.07691763e-11,0,1.07691763e-11,2.928566486315971e-06,1.07691763e-11,0,1.07691763e-11,0.2000304491286497
3.0046e-08,1,2.75067e-07,1,1.12332871e-11,0,1.12332871e-11,0,1.12332871e-11,0,1.12332871e-11,0,1.12332871e-11,0,1.12332871e-11,3.001078848686205e-06,1.12332871e-11,0,1.12332871e-11,0.2000317613709781
3.5067e-08,0,2.85067e-07,0,1.21615086e-11,0,1.21615086e-11,0,1.21615086e-11,0,1.21615086e-11,0,1.21615086e-11,0,1.21615086e-11,3.13428204184022e-06,1.21615086e-11,0,1.21615086e-11,0.2000343858556325
4.0046e-08,1,3.45067e-07,1,1.40179518e-11,0,1.40179518e-11,0,1.40179518e-11,0,1.40179518e-11,0,1.40179518e-11,0,1.40179518e-11,3.359589929073698e-06,1.40179518e-11,0,1.40179518e-11,0.2000396348249294
4.5067e-08,0,3.55067e-07,0,1.7053639e-11,0,1.7053639e-11,0,1.7053639e-11,0,1.7053639e-11,0,1.7053639e-11,0,1.7053639e-11,3.634540812379965e-06,1.7053639e-11,0,1.7053639e-11,0.2000482180280132
5.0046e-08,1,4.15067e-07,1,2.10956201e-11,0,2.10956201e-11,0,2.10956201e-11,0,2.10956201e-11,0,2.10956201e-11,0,2.10956201e-11,3.873313955731392e-06,2.10956201e-11,0,2.10956201e-11,0.2000596464603214
5.5067e-08,0,4.25067e-07,0,2.57130798e-11,0,2.57130798e-11,0,2.57130798e-11,0,2.57130798e-11,0,2.57130798e-11,0,2.57130798e-11,4.033598643148844e-06,2.57130798e-11,0,2.57130798e-11,0.2000727020193878
6.004599999999999e-08,1,4.85067e-07,1,3.03009205e-11,0,3.03009205e-11,0,3.03009205e-11,0,3.03009205e-11,0,3.03009205e-11,0,3.03009205e-11,4.123195747021646e-06,3.03009205e-11,0,3.03009205e-11,0.20008567383291
6.5067e-08,0,4.95067e-07,0,3.40926452e-11,0,3.40926452e-11,0,3.40926452e-11,0,3.40926452e-11,0,3.40926452e-11,0,3.40926452e-11,4.16671025335996e-06,3.40926452e-11,0,3.40926452e-11,0.2000963946810991
7.0046e-08,1,5.55067e-07,1,3.82762074e-11,0,3.82762074e-11,0,3.82762074e-11,0,3.82762074e-11,0,3.82762074e-11,0,3.82762074e-11,4.196297396422214e-06,3.82762074e-11,0,3.82762074e-11,0.2001082234234987
