out0X,out0Y,out1X,out1Y,out2X,out2Y,out3X,out3Y,out4X,out4Y,SAR_out_analogX,SAR_out_analogY,SW_inpX,SW_inpY,VinX,VinY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0,1.7054e-11,0.20005
5.6436e-11,0,5.6436e-11,0,5.6436e-11,0,5.6436e-11,0,5.6436e-11,0,5.6436e-11,0,5.6436e-11,0,5.6436e-11,0.20016
1.6993e-10,0,1.6993e-10,0,1.6993e-10,0,1.6993e-10,0,1.6993e-10,0,1.6993e-10,0,1.6993e-10,0,1.6993e-10,0.20048
5.0204e-09,0,5.0204e-09,0,5.0204e-09,0,5.0204e-09,0,5.0204e-09,0,5.0204e-09,0,5.0204e-09,0,5.0204e-09,0.21419
5.0585e-09,0,5.0585e-09,0,5.0585e-09,0,5.0585e-09,0,5.0585e-09,0,5.0585e-09,0,5.0585e-09,0,5.0585e-09,0.21429
5.0922e-09,0,5.0922e-09,0,5.0922e-09,0,5.0922e-09,0,5.0922e-09,0,5.0922e-09,0,5.0922e-09,1,5.0922e-09,0.21439
5.1704e-09,0,5.1704e-09,0,5.1704e-09,0,5.1704e-09,0,5.1704e-09,0,5.1704e-09,0,5.1704e-09,1,5.1704e-09,0.21461
5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,1,5.1711e-09,0.21461
5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,0,5.1711e-09,1,5.1711e-09,0.21461
5.2186e-09,0,5.2186e-09,0,5.2186e-09,0,5.2186e-09,0,5.2186e-09,0,5.2186e-09,0,5.2186e-09,1,5.2186e-09,0.21475
5.2828e-09,0,5.2828e-09,0,5.2828e-09,0,5.2828e-09,0,5.2828e-09,0,5.2828e-09,0,5.2828e-09,1,5.2828e-09,0.21493
6.0452e-09,0,6.0452e-09,0,6.0452e-09,0,6.0452e-09,0,6.0452e-09,0,6.0452e-09,0,6.0452e-09,1,6.0452e-09,0.21708
1.0011e-08,0,1.0011e-08,0,1.0011e-08,0,1.0011e-08,0,1.0011e-08,0,1.0011e-08,0,1.0011e-08,1,1.0011e-08,0.22825
1.0046e-08,0,1.0046e-08,0,1.0046e-08,0,1.0046e-08,0,1.0046e-08,0,1.0046e-08,0,1.0046e-08,1,1.0046e-08,0.22834
1.0078e-08,0,1.0078e-08,0,1.0078e-08,0,1.0078e-08,0,1.0078e-08,0,1.0078e-08,0,1.0078e-08,1,1.0078e-08,0.22843
1.0247e-08,0,1.0247e-08,0,1.0247e-08,0,1.0247e-08,0,1.0247e-08,0,1.0247e-08,0,1.0247e-08,0,1.0247e-08,0.22891
1.0791e-08,0,1.0791e-08,0,1.0791e-08,0,1.0791e-08,0,1.0791e-08,0,1.0791e-08,0,1.0791e-08,0,1.0791e-08,0.23043
1.5024e-08,0,1.5024e-08,0,1.5024e-08,0,1.5024e-08,0,1.5024e-08,0,1.5024e-08,0,1.5024e-08,0,1.5024e-08,0.24227
1.507e-08,0,1.507e-08,0,1.507e-08,0,1.507e-08,0,1.507e-08,0,1.507e-08,0,1.507e-08,0,1.507e-08,0.2424
1.5118e-08,0,1.5118e-08,0,1.5118e-08,0,1.5118e-08,0,1.5118e-08,0,1.5118e-08,0,1.5118e-08,0,1.5118e-08,0.24254
1.5176e-08,0,1.5176e-08,0,1.5176e-08,0,1.5176e-08,0,1.5176e-08,0,1.5176e-08,0,1.5176e-08,0,1.5176e-08,0.2427
1.5203e-08,0,1.5203e-08,0,1.5203e-08,0,1.5203e-08,0,1.5203e-08,0,1.5203e-08,0,1.5203e-08,0,1.5203e-08,0.24278
1.5271e-08,0,1.5271e-08,0,1.5271e-08,0,1.5271e-08,0,1.5271e-08,0,1.5271e-08,0,1.5271e-08,0,1.5271e-08,0.24296
1.5382e-08,0,1.5382e-08,0,1.5382e-08,0,1.5382e-08,0,1.5382e-08,0,1.5382e-08,0,1.5382e-08,0,1.5382e-08,0.24327
1.818e-08,0,1.818e-08,0,1.818e-08,0,1.818e-08,0,1.818e-08,0,1.818e-08,0,1.818e-08,0,1.818e-08,0.25104
2.0025e-08,0,2.0025e-08,0,2.0025e-08,0,2.0025e-08,0,2.0025e-08,0,2.0025e-08,0,2.0025e-08,0,2.0025e-08,0.25614
2.0065e-08,0,2.0065e-08,0,2.0065e-08,0,2.0065e-08,0,2.0065e-08,0,2.0065e-08,0,2.0065e-08,0,2.0065e-08,0.25625
2.0383e-08,0,2.0383e-08,0,2.0383e-08,0,2.0383e-08,0,2.0383e-08,0,2.0383e-08,0,2.0383e-08,0,2.0383e-08,0.25712
2.5022e-08,0,2.5022e-08,0,2.5022e-08,0,2.5022e-08,0,2.5022e-08,0,2.5022e-08,0,2.5022e-08,0,2.5022e-08,0.26981
2.5067e-08,0,2.5067e-08,0,2.5067e-08,0,2.5067e-08,0,2.5067e-08,0,2.5067e-08,0,2.5067e-08,0,2.5067e-08,0.26993
2.5107e-08,0,2.5107e-08,0,2.5107e-08,0,2.5107e-08,0,2.5107e-08,0,2.5107e-08,0,2.5107e-08,0,2.5107e-08,0.27004
2.5192e-08,0,2.5192e-08,0,2.5192e-08,0,2.5192e-08,0,2.5192e-08,0,2.5192e-08,0,2.5192e-08,0,2.5192e-08,0.27027
2.5248e-08,0,2.5248e-08,0,2.5248e-08,0,2.5248e-08,0,2.5248e-08,0,2.5248e-08,0,2.5248e-08,0,2.5248e-08,0.27042
2.5271e-08,0,2.5271e-08,0,2.5271e-08,0,2.5271e-08,0,2.5271e-08,0,2.5271e-08,0,2.5271e-08,0,2.5271e-08,0.27048
2.5394e-08,0,2.5394e-08,0,2.5394e-08,0,2.5394e-08,0,2.5394e-08,0,2.5394e-08,0,2.5394e-08,0,2.5394e-08,0.27082
2.8458e-08,0,2.8458e-08,0,2.8458e-08,0,2.8458e-08,0,2.8458e-08,0,2.8458e-08,0,2.8458e-08,0,2.8458e-08,0.27908
3.0025e-08,0,3.0025e-08,0,3.0025e-08,0,3.0025e-08,0,3.0025e-08,0,3.0025e-08,0,3.0025e-08,0,3.0025e-08,0.28327
3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0,3.0065e-08,0.28338
3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0,3.0383e-08,0.28423
